School,Type of School/District,Evidence of advisory,Evidence of School based support Programming,Evidence of formal parent engagment,Evidence of student support teaming,Evidence of Dropout prevention,,Evidence of RTI implementation,Evidence of PBIS Implementation,Evidence of SEL Implementation,Has a school health center on site,Has a school mental health center on site,Evidence of contracts with community service providers,Evidence of county mental health partnership,Evidence of county health or public health  partnership,Evidence that this is a community school site
Academy of Arts and Sciences, Alternative Schools of Choice,1,1,1,1,0,,0,0,0,1,1,0,0,0,0
Alamo Elementary, Elementary Schools (Public),0,1,0,1,0,,0,0,0,0,0,0,0,0,0
Alvarado Elementary, Elementary Schools (Public),0,0,1,1,0,,0,1,0,0,0,0,0,0,0
Aptos Middle, Intermediate/Middle Schools (Public),0,1,1,0,1,,1,1,0,0,0,0,0,0,0
Argonne Elementary, Elementary Schools (Public),,,,,,,,,,,,,,,
"Asawa (Ruth) San Francisco School of the Arts, A P", Alternative Schools of Choice,,,,,,,,,,,,,,,
Balboa High, High Schools (Public),,,,,,,,,,,,,,,
"Brown, Jr., (Willie L.) Elementary", Elementary Schools (Public),,,,,,,,,,,,,,,
Bryant Elementary, Elementary Schools (Public),,,,,,,,,,,,,,,
Buena Vista/ Horace Mann K-8, Intermediate/Middle Schools (Public),,,,,,,,,,,,,,,
Burton (Phillip and Sala) Academic High, High Schools (Public),,,,,,,,,,,,,,,
Carmichael (Bessie)/FEC, Elementary Schools (Public),,,,,,,,,,,,,,,
Carver (George Washington) Elementary, Elementary Schools (Public),,,,,,,,,,,,,,,
Chavez (Cesar) Elementary, Elementary Schools (Public),,,,,,,,,,,,,,,
Chin (John Yehall) Elementary, Elementary Schools (Public),,,,,,,,,,,,,,,
Chinese Education Center, Elementary Schools (Public),,,,,,,,,,,,,,,
Chinese Immersion School at DeAvila, Elementary Schools (Public),,,,,,,,,,,,,,,
City Arts and Tech High, High Schools (Public),,,,,,,,,,,,,,,
Clarendon Alternative Elementary, Elementary Schools (Public),,,,,,,,,,,,,,,
Cleveland Elementary, Elementary Schools (Public),,,,,,,,,,,,,,,
Cobb (William L.) Elementary, Elementary Schools (Public),,,,,,,,,,,,,,,
Creative Arts Charter, Elementary Schools (Public),,,,,,,,,,,,,,,
Denman (James) Middle, Intermediate/Middle Schools (Public),,,,,,,,,,,,,,,
Downtown High, Continuation High Schools,,,,,,,,,,,,,,,
Drew (Charles) College Preparatory Academy, Elementary Schools (Public),,,,,,,,,,,,,,,
Edison Charter Academy, Elementary Schools (Public),,,,,,,,,,,,,,,
El Dorado Elementary, Elementary Schools (Public),,,,,,,,,,,,,,,
Everett Middle, Intermediate/Middle Schools (Public),,,,,,,,,,,,,,,
Fairmount Elementary, Elementary Schools (Public),,,,,,,,,,,,,,,
Feinstein (Dianne) Elementary, Elementary Schools (Public),,,,,,,,,,,,,,,
Five Keys Adult School (SF Sheriff's), High Schools (Public),,,,,,,,,,,,,,,
Five Keys Charter (SF Sheriff's), High Schools (Public),,,,,,,,,,,,,,,
Five Keys Independence HS (SF Sheriff's), High Schools (Public),,,,,,,,,,,,,,,
Flynn (Leonard R.) Elementary, Elementary Schools (Public),,,,,,,,,,,,,,,
Francisco Middle, Intermediate/Middle Schools (Public),,,,,,,,,,,,,,,
Galileo High, High Schools (Public),,,,,,,,,,,,,,,
Garfield Elementary, Elementary Schools (Public),,,,,,,,,,,,,,,
Gateway High, High Schools (Public),,,,,,,,,,,,,,,
Gateway Middle, Intermediate/Middle Schools (Public),,,,,,,,,,,,,,,
Giannini (A.P.) Middle, Intermediate/Middle Schools (Public),,,,,,,,,,,,,,,
Glen Park Elementary, Elementary Schools (Public),,,,,,,,,,,,,,,
Grattan Elementary, Elementary Schools (Public),,,,,,,,,,,,,,,
Guadalupe Elementary, Elementary Schools (Public),,,,,,,,,,,,,,,
Harte (Bret) Elementary, Elementary Schools (Public),,,,,,,,,,,,,,,
Hillcrest Elementary, Elementary Schools (Public),,,,,,,,,,,,,,,
Hoover (Herbert) Middle, Intermediate/Middle Schools (Public),,,,,,,,,,,,,,,
Independence High, Alternative Schools of Choice,,,,,,,,,,,,,,,
International Studies Academy, Alternative Schools of Choice,,,,,,,,,,,,,,,
Jefferson Elementary, Elementary Schools (Public),,,,,,,,,,,,,,,
Jordan (June) School for Equity, Alternative Schools of Choice,,,,,,,,,,,,,,,
Key (Francis Scott) Elementary, Elementary Schools (Public),,,,,,,,,,,,,,,
King (Starr) Elementary, Elementary Schools (Public),,,,,,,,,,,,,,,
King Jr. (Martin Luther) Academic Middle, Intermediate/Middle Schools (Public),,,,,,,,,,,,,,,
KIPP Bayview Academy, Intermediate/Middle Schools (Public),,,,,,,,,,,,,,,
KIPP San Francisco Bay Academy, Intermediate/Middle Schools (Public),,,,,,,,,,,,,,,
Lafayette Elementary, Elementary Schools (Public),,,,,,,,,,,,,,,
Lakeshore Alternative Elementary, Elementary Schools (Public),,,,,,,,,,,,,,,
Lau (Gordon J.) Elementary, Elementary Schools (Public),,,,,,,,,,,,,,,
Lawton Alternative Elementary, Elementary Schools (Public),,,,,,,,,,,,,,,
Leadership High, High Schools (Public),,,,,,,,,,,,,,,
Lick (James) Middle, Intermediate/Middle Schools (Public),,,,,,,,,,,,,,,
Life Learning Academy Charter, High Schools (Public),,,,,,,,,,,,,,,
Lilienthal (Claire) Elementary, Elementary Schools (Public),,,,,,,,,,,,,,,
Lincoln (Abraham) High, High Schools (Public),,,,,,,,,,,,,,,
Longfellow Elementary, Elementary Schools (Public),,,,,,,,,,,,,,,
Lowell High, High Schools (Public),,,,,,,,,,1,1,,,,
Malcolm X Academy, Elementary Schools (Public),,,,,,,,,,,,,,,
Marina Middle, Intermediate/Middle Schools (Public),,,,,,,,,,,,,,,
Marshall (Thurgood) High, High Schools (Public),,,,,,,,,,,,,,,
Marshall Elementary, Elementary Schools (Public),,,,,,,,,,,,,,,
